#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTBP1	ZFP36L2	9606.ENSP00000349428	9606.ENSP00000282388	0	0	0	0	0.085	0.270	0	0.213	0.428
PTBP1	RPL4	9606.ENSP00000349428	9606.ENSP00000311430	0	0	0	0	0.451	0	0	0.089	0.478
PTBP1	SOX2	9606.ENSP00000349428	9606.ENSP00000323588	0	0	0	0	0.062	0.270	0	0.307	0.484
PTBP1	RPS3A	9606.ENSP00000349428	9606.ENSP00000346050	0	0	0	0	0.518	0	0	0	0.518
PTBP1	RPSA	9606.ENSP00000349428	9606.ENSP00000346067	0	0	0	0	0.594	0.129	0	0.102	0.655
PTBP1	UPF2	9606.ENSP00000349428	9606.ENSP00000348708	0	0	0	0	0.154	0	0	0.369	0.443
PTBP1	RPL10A	9606.ENSP00000349428	9606.ENSP00000363018	0	0	0	0	0.300	0	0	0.200	0.416
PTBP1	RPL26	9606.ENSP00000349428	9606.ENSP00000463784	0	0	0	0	0.334	0	0	0.181	0.431
PTBP1	RPS8	9606.ENSP00000349428	9606.ENSP00000379888	0	0	0	0	0.464	0	0	0.042	0.465
PTBP1	RPL12	9606.ENSP00000349428	9606.ENSP00000354739	0	0	0	0	0.528	0	0	0.068	0.541
PUSL1	SPTY2D1	9606.ENSP00000368318	9606.ENSP00000337991	0	0	0	0	0.065	0	0	0.456	0.469
RAB12	RND3	9606.ENSP00000331748	9606.ENSP00000364886	0	0	0.223	0.681	0	0.346	0	0.174	0.412
RBM3	SRSF6	9606.ENSP00000365950	9606.ENSP00000244020	0	0	0	0	0.145	0.213	0	0.343	0.519
RBM3	RPL4	9606.ENSP00000365950	9606.ENSP00000311430	0	0	0	0	0.100	0.182	0	0.448	0.558
RBM3	SLC25A5	9606.ENSP00000365950	9606.ENSP00000360671	0	0	0	0	0.076	0.058	0	0.451	0.480
RCOR2	SOX2	9606.ENSP00000301459	9606.ENSP00000323588	0	0	0	0	0.142	0.182	0	0.362	0.513
RFX3	SOX2	9606.ENSP00000371434	9606.ENSP00000323588	0	0	0	0	0	0.345	0	0.173	0.435
RFX3	RPL30	9606.ENSP00000371434	9606.ENSP00000428085	0	0	0	0	0	0	0	0.829	0.829
RNF13	RPS27A	9606.ENSP00000341361	9606.ENSP00000272317	0	0	0	0	0	0.803	0	0.042	0.803
RNF13	TRPS1	9606.ENSP00000341361	9606.ENSP00000379065	0	0	0	0	0	0	0	0.587	0.587
ROMO1	TMEM256	9606.ENSP00000363191	9606.ENSP00000301939	0	0	0	0	0.289	0	0	0.263	0.454
RPL10	RPL19	9606.ENSP00000413436	9606.ENSP00000225430	0	0	0	0	0.990	0.994	0	0.350	0.999
RPL10	RPS12	9606.ENSP00000413436	9606.ENSP00000230050	0.060	0	0	0	0.991	0.986	0	0.254	0.999
RPL10	RPS27A	9606.ENSP00000413436	9606.ENSP00000272317	0	0	0	0	0.891	0.959	0	0.260	0.996
RPL10	RPS3	9606.ENSP00000413436	9606.ENSP00000278572	0.154	0	0	0	0.991	0.929	0	0.480	0.999
RPL10	RPS23	9606.ENSP00000413436	9606.ENSP00000296674	0.093	0	0	0	0.986	0.989	0	0.420	0.999
RPL10	RPS9	9606.ENSP00000413436	9606.ENSP00000302896	0.093	0	0.246	0	0.953	0.981	0	0.356	0.999
RPL10	RPL4	9606.ENSP00000413436	9606.ENSP00000311430	0.077	0	0	0	0.978	0.988	0	0.455	0.999
RPL10	TCP1	9606.ENSP00000413436	9606.ENSP00000317334	0	0	0	0	0.517	0.058	0	0.158	0.584
RPL10	RPS15A	9606.ENSP00000413436	9606.ENSP00000318646	0.093	0	0	0	0.991	0.988	0	0.227	0.999
RPL10	SRPR	9606.ENSP00000413436	9606.ENSP00000328023	0.076	0	0	0	0.070	0.324	0	0.182	0.462
RPL10	RPS7	9606.ENSP00000413436	9606.ENSP00000339095	0	0	0	0	0.991	0.988	0	0.161	0.999
RPL10	RPL7	9606.ENSP00000413436	9606.ENSP00000339795	0.073	0	0	0	0.991	0.988	0	0.546	0.999
RPL10	RPLP1	9606.ENSP00000413436	9606.ENSP00000346037	0	0	0	0	0.964	0.929	0	0.085	0.997
RPL10	RPS3A	9606.ENSP00000413436	9606.ENSP00000346050	0	0	0	0	0.991	0.989	0	0.354	0.999
RPL10	RPSA	9606.ENSP00000413436	9606.ENSP00000346067	0.071	0	0	0	0.955	0.986	0	0.256	0.999
RPL10	RPL22L1	9606.ENSP00000413436	9606.ENSP00000346080	0	0	0	0	0.648	0.693	0	0.524	0.944
RPL10	RPL12	9606.ENSP00000413436	9606.ENSP00000354739	0.093	0	0	0	0.986	0.989	0	0.611	0.999
RPL10	RPL7A	9606.ENSP00000413436	9606.ENSP00000361076	0.060	0	0	0	0.989	0.990	0	0.441	0.999
RPL10	RPS4X	9606.ENSP00000413436	9606.ENSP00000362744	0	0	0	0	0.991	0.988	0	0.328	0.999
RPL10	RPL10A	9606.ENSP00000413436	9606.ENSP00000363018	0.093	0	0	0	0.989	0.982	0	0.623	0.999
RPL10	RPS6	9606.ENSP00000413436	9606.ENSP00000369757	0	0	0	0	0.991	0.982	0	0.479	0.999
RPL10	RPS29	9606.ENSP00000413436	9606.ENSP00000379339	0.093	0	0	0	0.987	0.959	0	0.272	0.999
RPL10	RPL14	9606.ENSP00000413436	9606.ENSP00000379506	0.077	0	0	0	0.983	0.989	0	0.245	0.999
RPL10	RPS8	9606.ENSP00000413436	9606.ENSP00000379888	0	0	0	0	0.991	0.981	0	0.492	0.999
RPL10	RPL36A	9606.ENSP00000413436	9606.ENSP00000404375	0	0	0	0	0.647	0.934	0	0.566	0.989
RPL10	YES1	9606.ENSP00000413436	9606.ENSP00000462468	0	0	0	0	0	0.507	0	0.096	0.535
RPL10	SRP54	9606.ENSP00000413436	9606.ENSP00000451818	0.091	0	0	0	0.106	0.844	0	0.190	0.884
RPL10	RPL32	9606.ENSP00000413436	9606.ENSP00000416429	0	0	0.210	0	0.909	0.959	0	0.258	0.997
RPL10	RPL26	9606.ENSP00000413436	9606.ENSP00000463784	0.077	0	0.204	0	0.981	0.980	0	0.291	0.999
RPL10	RPS10	9606.ENSP00000413436	9606.ENSP00000481646	0	0	0	0	0.980	0.992	0	0.169	0.999
RPL10	RPL30	9606.ENSP00000413436	9606.ENSP00000428085	0	0.383	0	0	0.965	0.994	0	0.303	0.999
RPL10	RPL28	9606.ENSP00000413436	9606.ENSP00000452909	0	0	0	0	0.989	0.955	0	0.454	0.999
RPL10A	RPL19	9606.ENSP00000363018	9606.ENSP00000225430	0	0	0	0	0.997	0.997	0.900	0.663	0.999
RPL10A	RPS12	9606.ENSP00000363018	9606.ENSP00000230050	0.059	0	0	0	0.997	0.997	0	0.253	0.999
RPL10A	RPS27A	9606.ENSP00000363018	9606.ENSP00000272317	0	0	0	0	0.982	0.994	0	0.183	0.999
RPL10A	RPS3	9606.ENSP00000363018	9606.ENSP00000278572	0.219	0	0	0	0.995	0.986	0	0.503	0.999
RPL10A	RPS23	9606.ENSP00000363018	9606.ENSP00000296674	0.167	0	0	0	0.994	0.997	0.900	0.653	0.999
RPL10A	RPS9	9606.ENSP00000363018	9606.ENSP00000302896	0.167	0	0	0	0.948	0.997	0	0.704	0.999
RPL10A	RPL4	9606.ENSP00000363018	9606.ENSP00000311430	0.135	0	0	0	0.988	0.996	0	0.707	0.999
RPL10A	TCP1	9606.ENSP00000363018	9606.ENSP00000317334	0	0	0	0	0.411	0	0	0.163	0.486
RPL10A	RPS15A	9606.ENSP00000363018	9606.ENSP00000318646	0.167	0	0	0	0.998	0.997	0	0.651	0.999
RPL10A	SRPR	9606.ENSP00000363018	9606.ENSP00000328023	0.219	0	0	0	0.062	0.124	0	0.248	0.453
RPL10A	RPS7	9606.ENSP00000363018	9606.ENSP00000339095	0	0	0	0	0.999	0.994	0	0.340	0.999
RPL10A	RPL7	9606.ENSP00000363018	9606.ENSP00000339795	0.111	0	0	0	0.995	0.996	0	0.636	0.999
RPL10A	RPLP1	9606.ENSP00000363018	9606.ENSP00000346037	0.167	0	0	0	0.997	0.995	0	0.592	0.999
RPL10A	RPS3A	9606.ENSP00000363018	9606.ENSP00000346050	0	0	0	0	0.996	0.996	0	0.503	0.999
RPL10A	RPSA	9606.ENSP00000363018	9606.ENSP00000346067	0	0	0	0	0.961	0.990	0	0.480	0.999
RPL10A	RPL22L1	9606.ENSP00000363018	9606.ENSP00000346080	0	0	0	0	0.784	0.770	0	0.608	0.978
RPL10A	RPL12	9606.ENSP00000363018	9606.ENSP00000354739	0.167	0	0	0	0.997	0.996	0	0.787	0.999
RPL10A	SLC25A5	9606.ENSP00000363018	9606.ENSP00000360671	0	0	0	0	0.188	0.648	0	0.066	0.709
RPL10A	RPL7A	9606.ENSP00000363018	9606.ENSP00000361076	0.059	0	0	0	0.996	0.996	0.720	0.727	0.999
RPL10A	RPS4X	9606.ENSP00000363018	9606.ENSP00000362744	0	0	0	0	0.997	0.996	0	0.549	0.999
RPL10A	ZCCHC7	9606.ENSP00000363018	9606.ENSP00000443113	0	0	0	0	0.062	0.491	0	0	0.502
RPL10A	RPL32	9606.ENSP00000363018	9606.ENSP00000416429	0	0	0	0	0.972	0.995	0.900	0.496	0.999
RPL10A	RPL30	9606.ENSP00000363018	9606.ENSP00000428085	0	0	0	0	0.982	0.996	0.900	0.740	0.999
RPL10A	RPL28	9606.ENSP00000363018	9606.ENSP00000452909	0	0	0	0	0.992	0.987	0	0.373	0.999
RPL10A	RPL26	9606.ENSP00000363018	9606.ENSP00000463784	0.135	0	0	0	0.996	0.955	0	0.658	0.999
RPL10A	RPS10	9606.ENSP00000363018	9606.ENSP00000481646	0	0	0	0	0.998	0.983	0	0.501	0.999
RPL10A	RPS29	9606.ENSP00000363018	9606.ENSP00000379339	0.167	0	0	0	0.996	0.987	0.900	0.379	0.999
RPL10A	RPS6	9606.ENSP00000363018	9606.ENSP00000369757	0	0	0	0	0.998	0.996	0	0.592	0.999
RPL10A	RPL14	9606.ENSP00000363018	9606.ENSP00000379506	0	0	0	0	0.981	0.997	0	0.509	0.999
RPL10A	RPL36A	9606.ENSP00000363018	9606.ENSP00000404375	0	0	0	0	0.821	0.952	0.900	0.557	0.999
RPL10A	RPS8	9606.ENSP00000363018	9606.ENSP00000379888	0	0	0	0	0.997	0.996	0	0.454	0.999
RPL12	RPL19	9606.ENSP00000354739	9606.ENSP00000225430	0	0	0	0	0.997	0.996	0	0.750	0.999
RPL12	RPS12	9606.ENSP00000354739	9606.ENSP00000230050	0.052	0	0	0	0.997	0.996	0	0.446	0.999
RPL12	RPS27A	9606.ENSP00000354739	9606.ENSP00000272317	0	0	0	0	0.974	0.987	0	0.444	0.999
RPL12	RPS3	9606.ENSP00000354739	9606.ENSP00000278572	0.219	0	0	0	0.997	0.986	0	0.575	0.999
RPL12	RPS23	9606.ENSP00000354739	9606.ENSP00000296674	0.167	0	0	0	0.990	0.997	0	0.556	0.999
RPL12	RPS9	9606.ENSP00000354739	9606.ENSP00000302896	0.166	0	0	0	0.969	0.996	0	0.525	0.999
RPL12	RPL4	9606.ENSP00000354739	9606.ENSP00000311430	0.135	0	0	0	0.995	0.996	0	0.700	0.999
RPL12	TCP1	9606.ENSP00000354739	9606.ENSP00000317334	0	0	0	0	0.468	0.056	0	0.421	0.684
RPL12	RPS15A	9606.ENSP00000354739	9606.ENSP00000318646	0.167	0	0	0	0.996	0.997	0	0.514	0.999
RPL12	SRPR	9606.ENSP00000354739	9606.ENSP00000328023	0.219	0	0	0	0.046	0.703	0	0.202	0.799
RPL12	RPS7	9606.ENSP00000354739	9606.ENSP00000339095	0	0	0	0	0.992	0.995	0	0.189	0.999
RPL12	RPL7	9606.ENSP00000354739	9606.ENSP00000339795	0.111	0	0	0	0.992	0.997	0	0.852	0.999
RPL12	RPLP1	9606.ENSP00000354739	9606.ENSP00000346037	0.167	0	0	0	0.961	0.997	0	0.700	0.999
RPL12	RPS3A	9606.ENSP00000354739	9606.ENSP00000346050	0	0	0	0	0.995	0.996	0	0.542	0.999
RPL12	RPSA	9606.ENSP00000354739	9606.ENSP00000346067	0	0	0	0	0.990	0.990	0	0.533	0.999
RPL12	RPL22L1	9606.ENSP00000354739	9606.ENSP00000346080	0	0	0	0	0.808	0.771	0	0.586	0.980
RPL12	UPF2	9606.ENSP00000354739	9606.ENSP00000348708	0	0	0	0	0.184	0	0	0.409	0.497
RPL12	SRP54	9606.ENSP00000354739	9606.ENSP00000451818	0.045	0	0	0	0.155	0.869	0	0.221	0.906
RPL12	RPL36A	9606.ENSP00000354739	9606.ENSP00000404375	0	0	0	0	0.818	0.952	0	0.672	0.996
RPL12	RPL28	9606.ENSP00000354739	9606.ENSP00000452909	0	0	0	0	0.991	0.987	0	0.549	0.999
RPL12	RPL30	9606.ENSP00000354739	9606.ENSP00000428085	0	0	0	0	0.996	0.997	0	0.792	0.999
RPL12	RPL32	9606.ENSP00000354739	9606.ENSP00000416429	0	0	0	0	0.982	0.994	0	0.726	0.999
RPL12	RPS6	9606.ENSP00000354739	9606.ENSP00000369757	0	0	0	0	0.996	0.996	0	0.719	0.999
RPL12	RPL14	9606.ENSP00000354739	9606.ENSP00000379506	0	0	0	0	0.991	0.996	0	0.723	0.999
RPL12	RPS4X	9606.ENSP00000354739	9606.ENSP00000362744	0	0	0	0	0.997	0.997	0	0.530	0.999
RPL12	RPS29	9606.ENSP00000354739	9606.ENSP00000379339	0.167	0	0	0	0.995	0.987	0	0.362	0.999
RPL12	RPS10	9606.ENSP00000354739	9606.ENSP00000481646	0	0	0	0	0.996	0.983	0	0.699	0.999
RPL12	RPL7A	9606.ENSP00000354739	9606.ENSP00000361076	0.052	0	0	0	0.994	0.997	0	0.798	0.999
RPL12	RPL26	9606.ENSP00000354739	9606.ENSP00000463784	0.135	0	0	0	0.994	0.955	0	0.672	0.999
RPL12	RPS8	9606.ENSP00000354739	9606.ENSP00000379888	0	0	0	0	0.995	0.996	0	0.564	0.999
RPL14	RPL19	9606.ENSP00000379506	9606.ENSP00000225430	0.177	0	0	0	0.991	0.997	0	0.698	0.999
RPL14	RPS12	9606.ENSP00000379506	9606.ENSP00000230050	0.051	0	0	0	0.992	0.996	0	0.203	0.999
RPL14	RPS27A	9606.ENSP00000379506	9606.ENSP00000272317	0	0	0	0	0.973	0.995	0	0.218	0.999
RPL14	RPS3	9606.ENSP00000379506	9606.ENSP00000278572	0.185	0	0	0	0.994	0.989	0	0.865	0.999
RPL14	RPS23	9606.ENSP00000379506	9606.ENSP00000296674	0.111	0	0	0	0.982	0.997	0	0.737	0.999
RPL14	RPS9	9606.ENSP00000379506	9606.ENSP00000302896	0.135	0	0	0	0.991	0.995	0	0.713	0.999
RPL14	RPL4	9606.ENSP00000379506	9606.ENSP00000311430	0.111	0	0	0	0.992	0.997	0	0.740	0.999
RPL14	TCP1	9606.ENSP00000379506	9606.ENSP00000317334	0	0	0	0	0.491	0.058	0	0.122	0.543
RPL14	RPS15A	9606.ENSP00000379506	9606.ENSP00000318646	0.135	0	0	0	0.980	0.997	0	0.326	0.999
RPL14	SRPR	9606.ENSP00000379506	9606.ENSP00000328023	0	0	0	0	0	0.703	0	0	0.703
RPL14	RPS7	9606.ENSP00000379506	9606.ENSP00000339095	0	0	0	0	0.984	0.996	0	0.679	0.999
RPL14	RPL7	9606.ENSP00000379506	9606.ENSP00000339795	0.081	0	0	0	0.995	0.996	0	0.809	0.999
RPL14	RPLP1	9606.ENSP00000379506	9606.ENSP00000346037	0	0	0	0	0.967	0.979	0	0.651	0.999
RPL14	RPS3A	9606.ENSP00000379506	9606.ENSP00000346050	0	0	0	0	0.995	0.996	0	0.679	0.999
RPL14	RPSA	9606.ENSP00000379506	9606.ENSP00000346067	0	0	0	0	0.990	0.991	0	0.619	0.999
RPL14	RPL22L1	9606.ENSP00000379506	9606.ENSP00000346080	0	0	0	0	0.827	0.770	0	0.512	0.979
RPL14	SLC25A5	9606.ENSP00000379506	9606.ENSP00000360671	0	0	0	0	0.180	0.636	0	0.109	0.711
RPL14	RPL7A	9606.ENSP00000379506	9606.ENSP00000361076	0.051	0	0	0	0.994	0.997	0	0.556	0.999
RPL14	SURF6	9606.ENSP00000379506	9606.ENSP00000361092	0	0	0	0	0	0.529	0	0.066	0.541
RPL14	RPS4X	9606.ENSP00000379506	9606.ENSP00000362744	0.162	0	0	0	0.993	0.996	0	0.491	0.999
RPL14	RPS6	9606.ENSP00000379506	9606.ENSP00000369757	0	0	0	0	0.986	0.996	0	0.615	0.999
RPL14	RPS29	9606.ENSP00000379506	9606.ENSP00000379339	0.135	0	0	0	0.973	0.987	0	0.738	0.999
RPL14	SRP54	9606.ENSP00000379506	9606.ENSP00000451818	0	0	0	0	0.162	0.822	0	0.088	0.852
RPL14	RPL36A	9606.ENSP00000379506	9606.ENSP00000404375	0	0	0	0	0.810	0.952	0	0.589	0.995
RPL14	RPL28	9606.ENSP00000379506	9606.ENSP00000452909	0	0	0	0	0.992	0.995	0	0.624	0.999
RPL14	RPL30	9606.ENSP00000379506	9606.ENSP00000428085	0	0	0	0	0.992	0.997	0	0.621	0.999
RPL14	RPL32	9606.ENSP00000379506	9606.ENSP00000416429	0.171	0	0	0	0.983	0.995	0	0.634	0.999
RPL14	RPS10	9606.ENSP00000379506	9606.ENSP00000481646	0	0	0	0	0.942	0.990	0	0.676	0.999
RPL14	RPL26	9606.ENSP00000379506	9606.ENSP00000463784	0.111	0	0	0	0.991	0.983	0	0.739	0.999
RPL14	RPS8	9606.ENSP00000379506	9606.ENSP00000379888	0	0	0	0	0.995	0.997	0	0.925	0.999
RPL19	TCP1	9606.ENSP00000225430	9606.ENSP00000317334	0	0	0.321	0	0.353	0.056	0	0	0.549
RPL19	SLC25A5	9606.ENSP00000225430	9606.ENSP00000360671	0	0	0	0	0.198	0.484	0	0	0.568
RPL19	SRPR	9606.ENSP00000225430	9606.ENSP00000328023	0	0	0	0	0.049	0.571	0	0.097	0.599
RPL19	SRP54	9606.ENSP00000225430	9606.ENSP00000451818	0	0	0	0	0.087	0.820	0	0.396	0.892
RPL19	RPL22L1	9606.ENSP00000225430	9606.ENSP00000346080	0	0	0	0	0.777	0.766	0	0.480	0.970
RPL19	RPS15A	9606.ENSP00000225430	9606.ENSP00000318646	0.219	0	0.294	0	0.993	0.996	0	0.396	0.999
RPL19	RPS4X	9606.ENSP00000225430	9606.ENSP00000362744	0.295	0	0.261	0	0.996	0.996	0	0.611	0.999
RPL19	RPSA	9606.ENSP00000225430	9606.ENSP00000346067	0	0	0.265	0	0.984	0.993	0	0.505	0.999
RPL19	RPS29	9606.ENSP00000225430	9606.ENSP00000379339	0.219	0	0	0	0.997	0.995	0.900	0.664	0.999
RPL19	RPS3A	9606.ENSP00000225430	9606.ENSP00000346050	0	0	0.360	0	0.995	0.997	0	0.600	0.999
RPL19	RPS23	9606.ENSP00000225430	9606.ENSP00000296674	0	0	0.221	0	0.994	0.997	0.900	0.789	0.999
RPL19	RPS10	9606.ENSP00000225430	9606.ENSP00000481646	0	0	0	0	0.996	0.984	0	0.645	0.999
RPL19	RPL26	9606.ENSP00000225430	9606.ENSP00000463784	0.185	0	0.317	0	0.991	0.984	0	0.752	0.999
RPL19	RPLP1	9606.ENSP00000225430	9606.ENSP00000346037	0	0	0	0	0.992	0.996	0	0.732	0.999
RPL19	RPL28	9606.ENSP00000225430	9606.ENSP00000452909	0	0	0	0	0.992	0.995	0	0.729	0.999
RPL19	RPL30	9606.ENSP00000225430	9606.ENSP00000428085	0	0	0	0	0.995	0.997	0.900	0.890	0.999
RPL19	RPL32	9606.ENSP00000225430	9606.ENSP00000416429	0.295	0	0	0	0.978	0.997	0.900	0.742	0.999
RPL19	RPS27A	9606.ENSP00000225430	9606.ENSP00000272317	0	0	0	0	0.981	0.995	0	0.246	0.999
RPL19	RPL7A	9606.ENSP00000225430	9606.ENSP00000361076	0	0	0	0	0.995	0.997	0.720	0.793	0.999
RPL19	RPS9	9606.ENSP00000225430	9606.ENSP00000302896	0	0	0	0	0.976	0.997	0	0.719	0.999
RPL19	RPS8	9606.ENSP00000225430	9606.ENSP00000379888	0	0	0	0	0.997	0.997	0	0.772	0.999
RPL19	RPL36A	9606.ENSP00000225430	9606.ENSP00000404375	0	0	0	0	0.787	0.952	0.900	0.820	0.999
RPL19	RPL7	9606.ENSP00000225430	9606.ENSP00000339795	0.167	0	0	0	0.993	0.996	0	0.813	0.999
RPL19	RPL4	9606.ENSP00000225430	9606.ENSP00000311430	0	0	0.206	0	0.992	0.996	0	0.807	0.999
RPL19	RPS12	9606.ENSP00000225430	9606.ENSP00000230050	0	0	0	0	0.997	0.996	0	0.307	0.999
RPL19	RPS7	9606.ENSP00000225430	9606.ENSP00000339095	0	0	0	0	0.993	0.997	0	0.449	0.999
RPL19	RPS6	9606.ENSP00000225430	9606.ENSP00000369757	0	0	0	0	0.997	0.996	0	0.764	0.999
RPL19	RPS3	9606.ENSP00000225430	9606.ENSP00000278572	0.295	0	0.310	0	0.996	0.989	0	0.741	0.999
RPL22L1	RPS12	9606.ENSP00000346080	9606.ENSP00000230050	0	0	0	0	0.661	0.693	0	0.060	0.893
RPL22L1	RPS27A	9606.ENSP00000346080	9606.ENSP00000272317	0	0	0	0	0.828	0.782	0	0.106	0.963
RPL22L1	RPS3	9606.ENSP00000346080	9606.ENSP00000278572	0	0	0	0	0.682	0.787	0	0.539	0.966
RPL22L1	RPS23	9606.ENSP00000346080	9606.ENSP00000296674	0	0	0	0	0.817	0.767	0	0.593	0.981
RPL22L1	RPS9	9606.ENSP00000346080	9606.ENSP00000302896	0	0	0	0	0.760	0.780	0	0.612	0.977
RPL22L1	RPL4	9606.ENSP00000346080	9606.ENSP00000311430	0	0	0	0	0.819	0.770	0	0.495	0.977
RPL22L1	RPS15A	9606.ENSP00000346080	9606.ENSP00000318646	0	0	0	0	0.689	0.692	0	0.139	0.910
RPL22L1	RPS7	9606.ENSP00000346080	9606.ENSP00000339095	0	0	0	0	0.709	0.782	0	0.357	0.955
RPL22L1	RPL7	9606.ENSP00000346080	9606.ENSP00000339795	0	0	0	0	0.482	0.541	0	0.288	0.816
RPL22L1	RPLP1	9606.ENSP00000346080	9606.ENSP00000346037	0	0	0	0	0.824	0.787	0	0.425	0.976
RPL22L1	RPS3A	9606.ENSP00000346080	9606.ENSP00000346050	0	0	0	0	0.810	0.771	0	0.255	0.964
RPL22L1	RPSA	9606.ENSP00000346080	9606.ENSP00000346067	0	0	0	0	0.629	0.681	0	0.467	0.931
RPL22L1	RPL7A	9606.ENSP00000346080	9606.ENSP00000361076	0	0	0	0	0.653	0.684	0	0.150	0.898
RPL22L1	RPS10	9606.ENSP00000346080	9606.ENSP00000481646	0	0	0	0	0.573	0.614	0	0.515	0.913
RPL22L1	RPL36A	9606.ENSP00000346080	9606.ENSP00000404375	0	0	0	0	0.660	0.633	0	0.517	0.934
RPL22L1	RPS4X	9606.ENSP00000346080	9606.ENSP00000362744	0	0	0	0	0.792	0.771	0	0.155	0.956
RPL22L1	RPL26	9606.ENSP00000346080	9606.ENSP00000463784	0	0	0	0	0.672	0.693	0	0.610	0.957
RPL22L1	RPL28	9606.ENSP00000346080	9606.ENSP00000452909	0	0	0	0	0.714	0.779	0	0.507	0.966
RPL22L1	RPL32	9606.ENSP00000346080	9606.ENSP00000416429	0	0	0	0	0.800	0.787	0	0.291	0.967
RPL22L1	RPS8	9606.ENSP00000346080	9606.ENSP00000379888	0	0	0	0	0.818	0.768	0	0.374	0.971
RPL22L1	RPS6	9606.ENSP00000346080	9606.ENSP00000369757	0	0	0	0	0.776	0.768	0	0.552	0.974
RPL22L1	RPL30	9606.ENSP00000346080	9606.ENSP00000428085	0	0	0	0	0.818	0.769	0	0.524	0.978
RPL22L1	RPS29	9606.ENSP00000346080	9606.ENSP00000379339	0	0	0	0	0.825	0.787	0	0.559	0.982
RPL26	RPS12	9606.ENSP00000463784	9606.ENSP00000230050	0.071	0	0	0	0.997	0.955	0	0.119	0.999
RPL26	RPS27A	9606.ENSP00000463784	9606.ENSP00000272317	0	0	0	0	0.970	0.955	0	0.479	0.999
RPL26	RPS3	9606.ENSP00000463784	9606.ENSP00000278572	0.185	0	0.362	0	0.991	0.956	0	0.802	0.999
RPL26	RPS23	9606.ENSP00000463784	9606.ENSP00000296674	0.135	0	0	0	0.993	0.955	0	0.712	0.999
RPL26	RPS9	9606.ENSP00000463784	9606.ENSP00000302896	0.135	0	0	0	0.977	0.983	0	0.672	0.999
RPL26	RPL4	9606.ENSP00000463784	9606.ENSP00000311430	0.111	0	0.262	0	0.990	0.981	0	0.686	0.999
RPL26	TCP1	9606.ENSP00000463784	9606.ENSP00000317334	0	0	0.225	0	0.463	0	0	0.107	0.596
RPL26	RPS15A	9606.ENSP00000463784	9606.ENSP00000318646	0.135	0	0.307	0	0.997	0.955	0	0.602	0.999
RPL26	SRPR	9606.ENSP00000463784	9606.ENSP00000328023	0.051	0	0.222	0	0.065	0.703	0	0.144	0.792
RPL26	RPS7	9606.ENSP00000463784	9606.ENSP00000339095	0	0	0	0	0.995	0.955	0	0.553	0.999
RPL26	RPL7	9606.ENSP00000463784	9606.ENSP00000339795	0.081	0	0	0	0.999	0.975	0	0.757	0.999
RPL26	RPLP1	9606.ENSP00000463784	9606.ENSP00000346037	0	0	0	0	0.956	0.955	0	0.364	0.998
RPL26	RPS3A	9606.ENSP00000463784	9606.ENSP00000346050	0	0	0.269	0	0.998	0.982	0	0.671	0.999
RPL26	RPSA	9606.ENSP00000463784	9606.ENSP00000346067	0.073	0	0.273	0	0.980	0.944	0	0.395	0.999
RPL26	RPL7A	9606.ENSP00000463784	9606.ENSP00000361076	0.071	0	0	0	0.994	0.985	0	0.611	0.999
RPL26	RPS4X	9606.ENSP00000463784	9606.ENSP00000362744	0.185	0	0.375	0	0.992	0.985	0	0.250	0.999
RPL26	RPS6	9606.ENSP00000463784	9606.ENSP00000369757	0	0	0	0	0.997	0.981	0	0.726	0.999
RPL26	RPS29	9606.ENSP00000463784	9606.ENSP00000379339	0.135	0	0	0	0.996	0.985	0	0.791	0.999
RPL26	RPS8	9606.ENSP00000463784	9606.ENSP00000379888	0	0	0	0	0.994	0.991	0	0.733	0.999
RPL26	RPL36A	9606.ENSP00000463784	9606.ENSP00000404375	0	0	0	0	0.738	0.941	0	0.570	0.992
RPL26	RPL32	9606.ENSP00000463784	9606.ENSP00000416429	0.185	0	0	0	0.917	0.987	0	0.332	0.999
RPL26	RPL30	9606.ENSP00000463784	9606.ENSP00000428085	0	0	0.268	0	0.995	0.985	0	0.737	0.999
RPL26	SRP54	9606.ENSP00000463784	9606.ENSP00000451818	0.055	0	0.201	0	0.205	0.868	0	0.190	0.924
RPL26	RPL28	9606.ENSP00000463784	9606.ENSP00000452909	0	0	0	0	0.990	0.955	0	0.682	0.999
RPL26	RPS10	9606.ENSP00000463784	9606.ENSP00000481646	0	0	0	0	0.991	0.944	0	0.814	0.999
RPL28	RPS12	9606.ENSP00000452909	9606.ENSP00000230050	0	0	0	0	0.992	0.987	0	0.262	0.999
RPL28	RPS27A	9606.ENSP00000452909	9606.ENSP00000272317	0	0	0	0	0.936	0.987	0	0.108	0.999
RPL28	RPS3	9606.ENSP00000452909	9606.ENSP00000278572	0	0	0	0	0.992	0.947	0	0.679	0.999
RPL28	RPS23	9606.ENSP00000452909	9606.ENSP00000296674	0	0	0	0	0.988	0.996	0	0.746	0.999
RPL28	RPS9	9606.ENSP00000452909	9606.ENSP00000302896	0	0	0	0	0.991	0.987	0	0.921	0.999
RPL28	SART1	9606.ENSP00000452909	9606.ENSP00000310448	0	0	0	0	0.091	0	0	0.536	0.561
